State_Abbr,State_Desc,County,CountyFIPS,Latitude,Longitude,Total_Population,AGE65,BROAD,CROWD,HCOST,NOHSDP,POV150,REMNRTY,SNGPNT,UNEMP
AL,Alabama,Clay County,1027,33.2703999,-85.8635254,14184,20.2,26.6,2.1,19.5,17.0,28.5,19.6,6.4,6.1
AL,Alabama,Cleburne County,1029,33.6719637,-85.5161261,15046,19.2,27.2,2.1,18.1,16.9,27.3,7.6,4.5,4.5
AL,Alabama,Coffee County,1031,31.402258,-85.9896022,53043,16.9,16.2,2.0,18.2,13.6,25.3,30.9,8.9,5.1
AL,Alabama,Colbert County,1033,34.703112,-87.8014569,56789,19.6,25.5,1.1,22.0,13.2,22.4,22.2,6.8,3.8
AL,Alabama,Conecuh County,1035,31.4309257,-86.9887221,11778,22.8,38.4,0.8,11.6,12.4,33.5,49.9,6.2,4.7
AL,Alabama,Coosa County,1037,32.9314453,-86.2434818,10442,23.7,25.0,2.5,12.8,14.9,21.6,35.9,4.3,3.3
AL,Alabama,Covington County,1039,31.2439873,-86.4487206,37490,20.9,24.9,2.0,20.9,14.8,29.0,17.2,6.8,7.0
AL,Alabama,Crenshaw County,1041,31.7303106,-86.3200384,13300,19.3,35.6,0.9,19.6,18.8,26.7,29.8,5.7,4.7
AL,Alabama,Cullman County,1043,34.1319229,-86.8692666,87129,18.2,18.1,1.8,18.7,15.8,22.0,8.9,5.9,4.4
AL,Alabama,Dale County,1045,31.4306536,-85.609476,49443,17.0,17.7,0.8,23.0,15.2,28.4,32.6,7.9,8.2
AL,Alabama,Dallas County,1047,32.3335263,-87.11436,39162,18.3,27.2,1.0,28.2,14.1,37.9,73.1,8.3,8.5
AL,Alabama,DeKalb County,1049,34.4609148,-85.8040207,71554,16.9,20.1,3.3,20.9,21.8,35.4,20.4,5.8,4.3
AL,Alabama,Elmore County,1051,32.597229,-86.1427347,87146,15.5,14.6,1.3,20.1,12.4,18.3,27.0,6.7,4.8
AL,Alabama,Escambia County,1053,31.1222867,-87.1684097,36879,18.0,31.9,0.7,21.5,18.3,38.7,40.0,8.0,9.8
AL,Alabama,Etowah County,1055,34.0476407,-86.0342629,103468,18.9,17.7,1.5,21.4,13.8,26.7,22.9,6.8,6.1
AL,Alabama,Fayette County,1057,33.7161568,-87.7642923,16365,21.0,28.1,0.9,19.0,17.0,33.2,16.2,4.9,9.3
AL,Alabama,Franklin County,1059,34.4419892,-87.8428144,32034,16.5,39.3,1.8,16.3,20.5,34.6,24.2,7.2,4.6
AL,Alabama,Geneva County,1061,31.0923822,-85.8210224,26604,20.0,27.9,1.5,20.2,17.5,34.7,18.5,5.8,3.5
AL,Alabama,Greene County,1063,32.8444965,-87.9642005,7851,22.9,44.2,0.8,27.8,15.6,53.3,82.6,2.7,10.0
AL,Alabama,Hale County,1065,32.7527958,-87.6230608,14819,19.4,32.5,2.2,26.6,18.7,36.3,61.7,3.1,7.0
AL,Alabama,Henry County,1067,31.5169779,-85.2399712,17165,22.4,19.6,1.2,17.3,18.7,25.2,30.7,3.9,4.9
AL,Alabama,Houston County,1069,31.1581831,-85.2964111,106355,17.8,19.4,1.4,25.0,12.2,28.2,34.7,8.1,5.2
AL,Alabama,Jackson County,1071,34.764114,-85.9800556,52548,20.1,21.6,2.0,20.9,17.6,30.0,11.1,6.3,5.7
AL,Alabama,Jefferson County,1073,33.5534439,-86.8965359,672550,15.9,14.8,1.4,28.2,9.0,24.7,50.8,7.8,6.1
AL,Alabama,Lamar County,1075,33.7870852,-88.0874309,13929,21.8,34.2,1.9,17.4,17.5,27.4,14.0,3.9,4.9
AL,Alabama,Lauderdale County,1077,34.9041221,-87.6509966,93342,19.8,21.9,1.0,21.9,11.3,24.2,16.2,5.9,3.8
AL,Alabama,Lawrence County,1079,34.529776,-87.3218651,33089,18.1,31.5,1.0,17.5,16.8,26.9,23.8,4.1,3.0
AL,Alabama,Lee County,1081,32.6040644,-85.3530477,172223,12.3,14.1,3.2,26.3,8.6,28.2,32.9,7.3,4.3
AL,Alabama,Limestone County,1083,34.8102387,-86.9813995,101217,15.1,13.5,1.8,16.9,13.5,19.0,24.7,5.2,4.5
AL,Alabama,Lowndes County,1085,32.147888,-86.6505859,10334,19.0,44.2,1.7,35.0,15.3,41.3,75.2,13.4,8.9
AL,Alabama,Macon County,1087,32.3870267,-85.692887,19490,20.3,30.8,1.1,21.7,16.5,34.2,83.5,8.6,11.0
AL,Alabama,Madison County,1089,34.7642377,-86.5510802,382149,14.9,11.1,1.2,21.4,8.0,18.1,35.9,7.3,4.4
AL,Alabama,Marengo County,1091,32.2475911,-87.791091,19397,19.7,27.9,0.2,23.2,13.4,35.9,55.4,5.4,5.4
AL,Alabama,Marion County,1093,34.1382194,-87.881551,29392,20.8,26.8,2.8,20.2,18.7,29.9,9.1,4.3,5.9
AL,Alabama,Marshall County,1095,34.3095637,-86.3216681,97179,16.9,14.2,1.6,20.9,16.5,27.6,20.1,7.3,3.9
AL,Alabama,Mobile County,1097,30.6845725,-88.1965682,414620,16.3,20.1,2.0,28.4,12.1,28.7,43.8,8.0,5.8
AL,Alabama,Monroe County,1099,31.5803324,-87.3832656,20115,20.3,47.0,0.9,20.3,17.6,36.2,46.1,6.8,11.9
AL,Alabama,Montgomery County,1101,32.2028812,-86.2044615,229072,15.1,15.5,2.3,30.5,12.3,30.4,67.6,11.8,6.6
AL,Alabama,Morgan County,1103,34.4544844,-86.8464021,122608,17.5,20.1,2.4,18.9,15.3,24.5,25.3,5.9,4.7
AL,Alabama,Perry County,1105,32.6390053,-87.2938269,8702,19.6,42.7,0.3,23.8,21.4,52.8,70.6,7.3,19.5
AL,Alabama,Pickens County,1107,33.2968003,-88.0968644,19240,18.9,27.4,0.8,22.3,16.7,34.6,46.5,8.3,7.0
AL,Alabama,Pike County,1109,31.7986533,-85.9416076,33176,15.2,26.0,0.7,29.9,12.7,33.7,44.4,7.1,4.4
AL,Alabama,Randolph County,1111,33.2964614,-85.4640637,21984,20.9,23.4,1.3,17.9,19.7,26.0,25.2,7.0,4.0
AL,Alabama,Russell County,1113,32.2898113,-85.1869798,58695,14.4,24.8,1.7,35.8,14.7,30.9,55.5,10.4,6.4
AL,Alabama,Shelby County,1117,33.2630428,-86.6780894,220780,15.6,7.9,1.0,19.0,6.4,12.0,23.5,5.0,3.3
AL,Alabama,St. Clair County,1115,33.7194907,-86.3113273,90412,16.7,13.8,1.4,19.8,14.0,18.2,14.8,5.1,4.8
AL,Alabama,Sumter County,1119,32.5974811,-88.2000571,12482,18.8,32.7,1.2,30.3,12.7,45.5,75.2,9.4,7.0
AL,Alabama,Talladega County,1121,33.3693135,-86.1759302,81850,17.8,19.1,1.4,24.1,17.1,31.4,37.9,8.9,7.9
AL,Alabama,Tallapoosa County,1123,32.8633076,-85.7996176,41284,21.5,20.9,2.3,20.0,18.4,26.7,31.3,8.0,9.9
AL,Alabama,Tuscaloosa County,1125,33.2902197,-87.5227834,223945,13.4,14.9,1.3,26.5,10.4,25.9,39.5,8.4,5.3
AL,Alabama,Walker County,1127,33.7915581,-87.3010936,65194,19.2,21.4,1.7,18.5,17.7,28.7,12.3,5.6,7.0
AL,Alabama,Washington County,1129,31.4085035,-88.2124041,15574,20.6,29.0,1.3,16.3,13.8,33.8,34.9,4.8,6.4
AL,Alabama,Wilcox County,1131,31.9900824,-87.3049349,10686,19.8,28.9,1.0,22.7,20.8,42.8,73.3,9.9,14.1
AL,Alabama,Winston County,1133,34.1545665,-87.3653458,23650,21.5,23.7,1.6,18.8,20.7,30.7,6.7,5.6,4.9
AR,Arkansas,Arkansas County,5001,34.2895697,-91.3765466,17273,19.3,28.4,2.3,18.9,13.3,26.2,31.4,4.6,4.3
AR,Arkansas,Ashley County,5003,33.1908354,-91.7722672,19362,20.5,28.5,1.8,22.5,14.8,36.5,32.4,4.9,5.0
AR,Arkansas,Baxter County,5005,36.2802684,-92.3299488,41476,30.5,19.8,2.2,23.9,11.3,28.6,7.3,4.1,5.4
AR,Arkansas,Benton County,5007,36.3378189,-94.2562984,278774,13.3,15.5,4.0,17.6,10.3,15.4,32.3,6.3,3.0
AR,Arkansas,Boone County,5009,36.3042991,-93.0792364,37445,20.6,14.7,1.1,19.8,10.9,24.4,6.6,3.6,4.6
AR,Arkansas,Bradley County,5011,33.4665491,-92.1691559,10597,18.0,27.0,1.9,23.3,15.9,30.4,45.1,7.7,5.4
AR,Arkansas,Calhoun County,5013,33.5604604,-92.513879,4811,20.4,25.6,0.1,8.8,15.8,19.1,28.0,4.0,8.7
AR,Arkansas,Carroll County,5015,36.3373704,-93.5409718,28154,22.8,23.9,4.7,21.1,14.8,23.6,23.6,3.4,4.0
AR,Arkansas,Chicot County,5017,33.2671393,-91.2971578,10405,20.8,31.3,3.1,26.5,21.6,44.9,61.2,8.3,14.1
AR,Arkansas,Clark County,5019,34.0533162,-93.1762085,21569,16.2,24.0,1.5,25.4,9.5,31.3,32.0,8.0,3.7
AR,Arkansas,Clay County,5021,36.3673021,-90.4187041,14661,21.3,25.7,1.2,21.3,15.7,31.5,5.6,5.7,6.4
AR,Arkansas,Cleburne County,5023,35.5663146,-92.0599504,24848,26.7,18.7,2.2,19.1,11.8,26.5,6.6,4.6,6.3
AR,Arkansas,Cleveland County,5025,33.8932006,-92.1887141,7632,20.5,29.4,0.5,18.5,9.3,29.0,15.8,6.6,2.0
AR,Arkansas,Columbia County,5027,33.2230377,-93.2328433,22947,16.7,28.2,3.7,22.5,13.0,34.2,40.7,6.3,4.4
AR,Arkansas,Conway County,5029,35.265702,-92.6892479,20687,19.2,24.0,1.4,20.8,11.9,33.2,18.9,7.7,6.7
AR,Arkansas,Craighead County,5031,35.8277285,-90.6314213,109875,13.6,16.7,1.8,25.1,10.3,27.4,26.0,9.5,5.7
AR,Arkansas,Crawford County,5033,35.5830114,-94.2362187,60483,16.7,21.5,2.9,20.5,15.1,28.7,16.9,7.7,4.7
AR,Arkansas,Crittenden County,5035,35.1975594,-90.3051195,48338,13.8,17.9,2.8,29.5,15.5,32.9,59.4,11.4,9.9
AR,Arkansas,Cross County,5037,35.2856921,-90.7639835,16935,18.5,22.2,5.9,23.3,18.2,30.7,27.9,12.1,8.2
AR,Arkansas,Dallas County,5039,33.9678233,-92.6539989,6645,23.4,33.4,2.3,17.2,12.3,25.8,47.2,5.2,8.2
AR,Arkansas,Desha County,5041,33.8287519,-91.2441034,11530,18.8,31.9,2.4,22.9,19.1,42.7,56.0,9.5,5.7
AR,Arkansas,Drew County,5043,33.5872418,-91.7227781,17511,17.7,24.9,2.2,19.1,13.0,32.8,34.6,5.0,2.5
AR,Arkansas,Faulkner County,5045,35.1465478,-92.3369277,123191,12.5,12.7,1.9,27.7,6.9,25.7,20.8,5.8,3.3
AR,Arkansas,Franklin County,5047,35.5085579,-93.8876647,17159,19.5,29.3,2.6,24.9,13.5,37.0,10.3,4.8,5.1
AR,Arkansas,Fulton County,5049,36.3813225,-91.8192849,12072,25.6,46.5,4.6,24.3,14.1,40.8,6.6,4.9,5.9
AR,Arkansas,Garland County,5051,34.5788522,-93.1469323,99694,23.4,19.0,2.6,25.2,9.6,26.0,18.9,7.6,6.2
AR,Arkansas,Grant County,5053,34.2855683,-92.4229794,17912,17.8,20.0,1.3,19.2,8.4,21.4,8.4,5.9,3.4
AR,Arkansas,Greene County,5055,36.1206072,-90.5663459,45665,15.8,17.8,2.6,23.8,11.3,28.2,8.8,8.2,7.4
AR,Arkansas,Hempstead County,5057,33.735953,-93.6643553,20352,17.8,22.5,2.9,19.5,16.2,33.2,46.3,8.5,4.8
AR,Arkansas,Hot Spring County,5059,34.3151767,-92.9441474,33096,18.7,27.3,3.0,19.3,11.4,29.9,18.0,5.5,5.5
AR,Arkansas,Howard County,5061,34.0830639,-93.9909315,12894,17.5,24.3,3.2,23.5,11.9,31.7,36.8,10.3,5.7
AR,Arkansas,Independence County,5063,35.7374992,-91.5599423,37796,17.0,36.8,2.3,21.9,14.2,27.5,14.8,5.3,5.4
AR,Arkansas,Izard County,5065,36.0948792,-91.9136252,13653,24.7,48.7,1.1,22.6,17.9,31.5,10.9,4.2,6.9
AR,Arkansas,Jackson County,5067,35.5964674,-91.2232051,16878,17.7,24.9,0.5,20.7,16.5,36.0,23.6,7.3,10.3
AR,Arkansas,Jefferson County,5069,34.277239,-91.929673,68199,17.5,29.7,1.5,25.9,11.6,32.3,61.9,9.4,9.3
AR,Arkansas,Johnson County,5071,35.5733586,-93.4663223,25853,16.2,32.5,2.8,26.2,19.9,35.5,21.9,6.8,3.8
AR,Arkansas,Lafayette County,5073,33.2406294,-93.611514,6373,23.6,33.7,2.0,21.4,18.9,41.3,42.5,3.2,8.0
AR,Arkansas,Lawrence County,5075,36.0410983,-91.1011529,16292,18.8,22.3,2.2,16.1,15.2,32.0,6.8,6.1,7.2
AR,Arkansas,Lee County,5077,34.7795048,-90.7797172,8832,19.2,28.0,2.6,30.4,18.3,42.7,59.4,9.2,14.3
AR,Arkansas,Lincoln County,5079,33.9563846,-91.742355,13092,15.5,43.7,1.3,15.6,18.8,26.3,36.0,5.4,3.1
AR,Arkansas,Little River County,5081,33.7019411,-94.2362871,12104,20.7,26.9,2.3,12.2,10.1,22.7,27.4,5.0,8.4
AR,Arkansas,Logan County,5083,35.2186538,-93.7209102,21299,19.6,25.2,2.7,17.4,12.3,28.4,11.5,5.4,4.8
AR,Arkansas,Lonoke County,5085,34.7551137,-91.894132,73824,13.7,14.9,1.2,21.1,10.1,19.2,15.0,7.8,5.2
AR,Arkansas,Madison County,5087,36.0125452,-93.7240531,16496,19.1,20.9,2.8,16.7,15.1,29.2,16.9,5.5,5.1
AR,Arkansas,Marion County,5089,36.2666636,-92.6785765,16750,27.8,17.8,2.2,21.6,13.8,30.4,6.8,3.2,7.7
AR,Arkansas,Miller County,5091,33.3055054,-93.9015018,42875,16.5,20.4,3.5,23.9,13.1,32.7,32.4,11.7,7.5
AR,Arkansas,Mississippi County,5093,35.7669437,-90.0522072,41061,14.6,21.2,3.8,23.3,17.4,33.2,43.0,10.5,9.6
AR,Arkansas,Monroe County,5095,34.6795117,-91.2033099,6903,22.9,32.0,3.9,23.5,21.2,32.7,45.8,5.5,10.3
AR,Arkansas,Montgomery County,5097,34.5456557,-93.664153,8525,26.8,29.2,0.8,18.4,16.0,33.4,9.5,6.7,8.7
AR,Arkansas,Nevada County,5099,33.6666991,-93.3050716,8340,20.5,28.5,2.5,24.4,9.0,32.1,37.2,8.3,7.4
AR,Arkansas,Newton County,5101,35.9107423,-93.2158984,7343,26.5,30.9,1.4,19.2,14.8,22.7,7.7,3.7,4.6
AR,Arkansas,Ouachita County,5103,33.5911684,-92.8784131,22858,20.4,21.9,0.9,21.4,12.4,34.5,45.3,7.8,6.3
AR,Arkansas,Perry County,5105,34.9463629,-92.9268773,10056,19.9,25.5,3.8,15.4,8.7,27.9,8.7,5.5,4.3
AR,Arkansas,Phillips County,5107,34.4236874,-90.8555931,16923,18.9,29.3,1.5,27.7,18.3,45.0,66.0,11.9,15.3
AR,Arkansas,Pike County,5109,34.1581907,-93.6586589,10234,20.1,25.5,3.1,20.4,12.1,29.8,14.5,4.9,3.7
AR,Arkansas,Poinsett County,5111,35.5688702,-90.6811037,23212,17.9,22.6,2.2,23.1,18.5,34.5,14.5,7.5,4.2
AR,Arkansas,Polk County,5113,34.4909149,-94.2308841,19476,22.6,22.8,2.5,21.8,11.5,32.2,12.9,4.9,10.4
AR,Arkansas,Pope County,5115,35.456557,-93.0268181,63234,15.4,18.9,2.0,25.1,15.8,31.2,16.8,8.3,5.9
AR,Arkansas,Prairie County,5117,34.8311162,-91.5536205,8306,23.3,32.8,1.5,14.9,13.2,22.2,15.9,5.4,6.0
AR,Arkansas,Pulaski County,5119,34.7703106,-92.312996,397931,15.6,16.4,2.1,28.5,8.5,26.1,49.0,9.1,5.3
AR,Arkansas,Randolph County,5121,36.3412985,-91.0284409,18442,19.5,29.8,2.4,19.8,14.4,35.3,9.0,4.6,7.3
AR,Arkansas,Saline County,5125,34.6485246,-92.674463,122308,17.8,13.1,1.6,18.6,8.2,16.9,17.3,6.9,3.8
AR,Arkansas,Scott County,5127,34.8588693,-94.0636413,9928,20.2,32.1,2.4,21.6,20.0,27.1,16.2,4.4,5.9
AR,Arkansas,Searcy County,5129,35.8963868,-92.6958884,7872,25.2,34.9,0.4,21.3,19.8,37.2,10.1,4.0,4.3
AR,Arkansas,Sebastian County,5131,35.1969808,-94.2749889,127941,16.0,19.4,2.9,23.4,15.4,28.9,31.4,7.7,5.0
AR,Arkansas,Sevier County,5133,33.9948773,-94.2432792,16074,13.9,21.9,6.5,18.9,26.5,33.2,44.2,5.3,4.8
AR,Arkansas,Sharp County,5135,36.1733989,-91.4710689,17243,25.0,39.9,2.5,23.9,17.8,35.7,8.5,5.7,5.5
AR,Arkansas,St. Francis County,5123,35.0228383,-90.7515058,23623,16.5,31.5,2.3,30.6,17.7,42.2,61.0,12.6,6.6
AR,Arkansas,Stone County,5137,35.8570011,-92.1404819,12364,26.8,48.3,2.5,22.9,15.4,40.3,8.5,7.8,7.5
AR,Arkansas,Union County,5139,33.1682186,-92.5981447,39262,17.7,31.0,4.2,24.9,13.7,28.5,39.5,7.4,4.4
AR,Arkansas,Van Buren County,5141,35.5829532,-92.5159757,15851,25.7,30.1,2.1,24.7,14.9,34.7,7.7,5.7,5.4
AR,Arkansas,Washington County,5143,35.978001,-94.2172695,242793,11.7,15.1,4.1,25.6,13.5,25.8,32.5,6.9,4.7
AR,Arkansas,White County,5145,35.2551175,-91.7530339,77075,16.0,17.5,1.9,23.9,14.2,29.3,13.2,8.5,5.4
AR,Arkansas,Woodruff County,5147,35.1927768,-91.2445353,6333,23.6,39.8,1.7,21.8,17.6,33.3,30.6,7.1,7.6
AR,Arkansas,Yell County,5149,34.9977133,-93.4083032,20489,17.2,23.7,6.3,18.2,22.5,32.5,25.8,4.3,3.6
AZ,Arizona,Apache County,4001,35.385084,-109.4901722,66473,15.4,57.1,13.3,13.2,17.8,49.1,82.3,8.7,9.0
AZ,Arizona,Cochise County,4003,31.8401287,-109.7751627,125092,22.5,15.5,2.4,23.1,11.3,25.7,46.1,6.2,7.1
AZ,Arizona,Coconino County,4005,35.8296919,-111.7737277,144942,12.9,19.4,6.7,29.5,9.0,28.0,47.0,5.1,7.8
AZ,Arizona,Gila County,4007,33.7896177,-110.8118696,53211,28.8,25.8,4.3,23.9,13.1,30.5,38.9,4.0,7.3
AZ,Arizona,Graham County,4009,32.9318277,-109.8783103,38145,13.8,18.6,5.8,22.5,16.6,28.8,49.6,6.8,5.9
AZ,Arizona,Greenlee County,4011,33.2388723,-109.2423231,9542,12.9,10.9,3.7,8.9,12.3,15.8,54.6,7.0,3.6
AZ,Arizona,La Paz County,4012,33.7276104,-114.038806,16845,39.6,28.7,8.4,21.2,16.0,29.7,43.9,6.7,7.7
AZ,Arizona,Maricopa County,4013,33.3451756,-112.4989296,4367186,15.2,9.8,4.4,27.5,11.2,19.8,46.2,6.6,5.0
AZ,Arizona,Mohave County,4015,35.717705,-113.7496891,211274,30.4,16.1,3.1,25.8,12.6,27.1,24.1,5.2,7.4
AZ,Arizona,Navajo County,4017,35.3907852,-110.3210248,106609,18.2,33.0,9.1,19.6,15.5,39.2,58.7,7.2,10.5
AZ,Arizona,Pima County,4019,32.128038,-111.7836574,1035063,19.8,10.9,3.5,29.1,10.6,24.6,49.6,6.3,6.3
AZ,Arizona,Pinal County,4021,32.9185207,-111.3663394,420625,20.4,11.0,4.1,23.1,12.4,20.7,44.6,5.4,6.4
AZ,Arizona,Santa Cruz County,4023,31.525733,-110.8452278,47463,18.0,19.2,6.2,29.4,22.3,36.1,85.0,6.9,9.9
AZ,Arizona,Yavapai County,4025,34.631071,-112.5772247,233789,31.9,12.4,2.6,27.6,8.4,22.2,20.6,3.3,5.4
AZ,Arizona,Yuma County,4027,32.7739424,-113.910905,202944,19.0,17.5,9.8,26.4,25.1,31.9,70.2,8.6,8.4
CA,California,Alameda County,6001,37.6471385,-121.912488,1673133,14.0,7.8,7.7,24.8,11.0,13.9,70.1,4.9,5.0
CA,California,Alpine County,6003,38.6217831,-119.7983522,1344,28.2,15.4,3.2,13.6,6.3,18.2,45.7,1.8,9.2
CA,California,Amador County,6005,38.4435493,-120.653858,40095,26.7,14.1,2.9,28.8,8.7,14.1,25.0,2.4,6.8
CA,California,Butte County,6007,39.6653362,-121.6032086,217884,18.0,11.0,3.5,33.4,9.7,28.4,29.7,5.6,7.2
CA,California,Calaveras County,6009,38.1910682,-120.5541065,45349,28.0,14.1,2.2,33.9,9.2,22.3,20.8,4.6,6.8
CA,California,Colusa County,6011,39.1777385,-122.2375629,21780,14.6,21.0,4.7,29.9,26.7,24.9,66.0,8.1,5.5
CA,California,Contra Costa County,6013,37.919479,-121.9515431,1161643,15.8,6.0,5.3,23.9,10.3,13.7,58.4,5.9,5.8
CA,California,Del Norte County,6015,41.7499033,-123.9809983,27655,17.9,11.6,3.5,28.1,19.4,28.0,39.9,6.3,7.5
CA,California,El Dorado County,6017,38.7856116,-120.5342245,190568,21.5,9.8,2.2,26.2,5.3,13.6,23.7,3.9,4.7
CA,California,Fresno County,6019,36.7610058,-119.6550193,1003150,12.1,16.3,10.0,34.5,22.1,31.7,72.1,9.1,8.8
